timestamp,day,filename,relative_path,mode,scan_type,sweeps,rays,gates,gate_spacing_m,max_range_km,reflectivity_shape
2025-08-01 11:43:04,1,NHB250801114304.RAWLTZT,01\NHB250801114304.RAWLTZT,Short Range,ppi,8,2829,500,240.0,119.76000213623047,"(2829, 500)"
2025-08-01 11:50:08,1,NHB250801115008.RAWLTZW,01\NHB250801115008.RAWLTZW,Long Range,ppi,4,1388,500,600.0,299.3999938964844,"(1388, 500)"
2025-08-01 11:53:04,1,NHB250801115304.RAWLU00,01\NHB250801115304.RAWLU00,Short Range,ppi,8,2833,500,240.0,119.76000213623047,"(2833, 500)"
2025-08-01 12:00:07,1,NHB250801120007.RAWLU03,01\NHB250801120007.RAWLU03,Long Range,ppi,4,1398,500,600.0,299.3999938964844,"(1398, 500)"
2025-08-01 12:03:04,1,NHB250801120304.RAWLU07,01\NHB250801120304.RAWLU07,Short Range,ppi,8,2829,500,240.0,119.76000213623047,"(2829, 500)"
2025-08-01 12:10:08,1,NHB250801121008.RAWLU0A,01\NHB250801121008.RAWLU0A,Long Range,ppi,4,1388,500,600.0,299.3999938964844,"(1388, 500)"
2025-08-01 12:13:04,1,NHB250801121304.RAWLU0E,01\NHB250801121304.RAWLU0E,Short Range,ppi,8,2828,500,240.0,119.76000213623047,"(2828, 500)"
2025-08-01 12:20:07,1,NHB250801122007.RAWLU0H,01\NHB250801122007.RAWLU0H,Long Range,ppi,4,1388,500,600.0,299.3999938964844,"(1388, 500)"
2025-08-01 12:23:03,1,NHB250801122303.RAWLU0M,01\NHB250801122303.RAWLU0M,Short Range,ppi,8,2829,500,240.0,119.76000213623047,"(2829, 500)"
2025-08-01 12:30:08,1,NHB250801123008.RAWLU0R,01\NHB250801123008.RAWLU0R,Long Range,ppi,4,1393,500,600.0,299.3999938964844,"(1393, 500)"
2025-08-01 12:33:04,1,NHB250801123304.RAWLU0V,01\NHB250801123304.RAWLU0V,Short Range,ppi,8,2827,500,240.0,119.76000213623047,"(2827, 500)"
